"How's the weather","weather"
"What's it like out there?","weather"
"Beautiful day, isn't it","weather"
"What's the weather forecast","weather"
"What is the weather expected to be like","weather"
"Is it hot or cold","weather"
"Is it sunny","weather"
"Is it raining","weather"
"weather in hyderabad","weather"
"What's the temperature in Manchester","weather"
"It is a Beautiful day for a walk","weather"
"weather in karachi","weather"
"What's the weather forecast for today","weather"
"how is the weather in hyderabad","weather"
"weather in mumbai","weather"
"what's on the news today","news"
"Tell me news","news"
"Let me know the news","news"
"headlines for today","news"
"news headlines for today","news"
"headlines","news"
"what happened today","news"
"whats on the news","news"
"whats happening in the world","news"
"news","news"
"google apple","google"
"best hotel in hyderabad","google"
"places to travel in india","google"
"places to see in kashmir","google"
"where is england","google"
"where can i find good food","google"
"how is australia","google"
"explain polymoshism","google"
"define hello","google"
"define suraj","google"
"rules of cricket","google"
"rules of football","google"
"best jokes","google"
"largest building in the world","google"
"motivation quotes","google"
