"How's the weather","weather"
"What's it like out there?","weather"
"Beautiful day, isn't it","weather"
"What's the weather forecast","weather"
"What is the weather expected to be like","weather"
"Is it hot or cold","weather"
"weather in hyderabad","weather"
"What's the temperature in Manchester","weather"
"It is a Beautiful day for a walk","weather"
"weather in karachi","weather"
"What's the weather forecast for today","weather"
"how is the weather in hyderabad","weather"
"weather in mumbai","weather"
"is it rainy today","weather"
"is it stormy today","weather"
"is it sunny today","weather"
"is it cloudy today","weather"
"is it hot today","weather"
"is it cold today","weather"
"is it dry today","weather"
"is it wet today","weather"
"is it windy today","weather"
"is it hurricanes today","weather"
"is it typhoons today","weather"
"are there sand-storms today","weather"
"are there snow-storms today","weather"
"are there tornados today","weather"
"is it humid today","weather"
"is it foggy today","weather"
"is it snowy today","weather"
"is there thundersnow today","weather"
"is there hail today","weather"
"is it sleet today","weather"
"is it drought today","weather"
"is there wildfire today","weather"
"is there blizzard today","weather"
"is there avalanche today","weather"
"is it misty today","weather"
"is it rainy in jaipur today","weather"
"is it stormy in jaipur today","weather"
"is it sunny in jaipur today","weather"
"is it cloudy in jaipur today","weather"
"is it hot in jaipur today","weather"
"is it cold in jaipur today","weather"
"is it dry in jaipur today","weather"
"is it wet in jaipur today","weather"
"is it windy in jaipur today","weather"
"are there hurricanes in jaipur today","weather"
"are there typhoons in jaipur today","weather"
"are there sand-storms in jaipur today","weather"
"are there snow-storms in jaipur today","weather"
"are there tornados in jaipur today","weather"
"is it humid in jaipur today","weather"
"is it foggy in jaipur today","weather"
"is it snowy in jaipur today","weather"
"is there thundersnow in jaipur today","weather"
"is it hail in jaipur today","weather"
"is it sleet in jaipur today","weather"
"is it drought in jaipur today","weather"
"is it wildfire in jaipur today","weather"
"is it blizzard in jaipur today","weather"
"is it avalanche in jaipur today","weather"
"is it misty in jaipur today","weather"
"is the type of weather rainy today","weather"
"is the type of weather stormy today","weather"
"is the type of weather sunny today","weather"
"is the type of weather humid today","weather"
"is the type of weather foggy today","weather"
"is the type of weather snow today","weather"
"is the type of weather hail today","weather"
"is the type of weather sleet today","weather"
"is the type of weather drought today","weather"
"is the type of weather wildfire today","weather"
"is the type of weather blizzard today","weather"
"is the type of weather avalanche today","weather"
"is the type of weather misty today","weather"
"does jaipur have hurricanes today","weather"
"does jaipur have typhoons today","weather"
"does jaipur have sand-storms today","weather"
"does jaipur have snow-storms today","weather"
"does jaipur have tornados today","weather"
"does jaipur have thundersnows today","weather"
"does jaipur have wildfire today","weather"
"does jaipur have  today","weather"
"how is the weather in x","weather"
"weather in x","weather"
"What's the temperature in x","weather"
"What's the weather forecast for today in x","weather"
"how is weather in x","weather"
"what is weather in x","weather"
"How is it in x today","weather"
"how is it in x","weather"
"Can you help with weather forecast of x","weather"
"what is weather forecast of x","weather"
"what is weather of the day in x","weather"
"what's on the news today","news"
"Tell me news","news"
"Let me know the news","news"
"headlines for today","news"
"news headlines for today","news"
"headlines","news"
"what happened today","news"
"whats on the news","news"
"whats happening in the world","news"
"news","news"
"what are the latest updates","news"
"what is the news today","news"
"what is news today","news"
"Tell me the recent updates","news"
"Tell us about the latest news","news"
"tell us about the latest updates","news"
"what are the headlines of today","news"
"whats on the news today","news"
"what are the latest updates of today","news"
"tell me the latest updates of today","news"
"whats going on in city today","news"
"whats going on in country today","news"
"whats going on in world today","news"
"What is the last piece of news that you can share","news"
"whats the recent news story","news"
"Latest updates","news"
"recent news","news"
"whats going around the world","news"
"what is the update for today","news"
"update for today","news"
"whats going around the world","news"
"what is the update for today","news"
"update for today","news"
"is there anything new going around","news"
"Tell me something regarding news update","news"
"Any news updates","news"
"update for the day","news"
"top news for the day","news"
"google apple","google"
"best hotel in hyderabad","google"
"places to travel in india","google"
"places to see in kashmir","google"
"where is england","google"
"where can i find good food","google"
"how is australia","google"
"explain polymoshism","google"
"define hello","google"
"define suraj","google"
"rules of cricket","google"
"rules of football","google"
"best jokes","google"
"largest building in the world","google"
"motivation quotes","google"
"Dinner places around","google"
"What are the nearest restaurants around","google"
"Nearest restaurants","google"
"places for one day trip","google"
"rating for redmi note 3","google"
"what is internet","google"
"tell about machine learning","google"
"how bot works","google"
"what is artificial intelligence","google"
"what is google","google"
"nearest italian restaurant","google"
"dinner places","google"
"travel places","google"
"travel spot around","google"
"trecking places nearby","google"
"wildlife sanctuary around me","google"
"Name the world's biggest island.","google"
"What is the world's longest river?","google"
"Name the world's largest ocean.","google"
"What is the diameter of Earth?","google"
"latest movie","google"
"movie ratings","google"
